Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
Welsh Springer Spaniel,Wales,"Liver, White",20-25,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Terrier,Wales,"Black, Tan",12-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
West Highland White Terrier,Scotland,White,12-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Whippet,England,"White, Black, Red",18-22,Brown,15-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Wirehaired Pointing Griffon,Belgium,"Brown, White",21-24,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Xoloitzcuintli,Mexico,"Black, Red",14-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Yorkshire Terrier,England,Blue & Tan,8-Jul,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Akita,Japan,"Red, Fawn, Sesame",24-28,Brown,12-Oct,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Africanis,Africa,"Brown, Red",22-25,Brown,15-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Basenji,Congo,"Red, Black & White",16-17,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Catahoula Leopard Dog,United States,"Merle, Black",20-26,Brown,14-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Cocker Spaniel,England,"Black, Brown",14-15,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Shiba Inu,Japan,"Red, Sesame",13-16,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Belgian Tervuren,Belgium,Fawn,22-26,Brown,14-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pharaoh Hound,Malta,Red,21-25,Brown,14-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
